	gene	betweenness	closeness	degree	clustering_coefficient
0	A1BG	0.0022165205928606183	0.3308315147559707	0.004098360655737705	0.045454545454545456
1	A1CF	6.295362627762169e-05	0.34718863038034287	0.004470938897168405	0.08974358974358974
2	A2M	0.015058379896586286	0.422421875	0.08569299552906111	0.159081498211933
3	A2ML1	0.0007587829476852677	0.4119932947272173	0.0763785394932936	0.7112952877101587
4	A4GALT	5.236353965371218e-06	0.2949809056192035	0.0014903129657228018	0.0
5	A4GNT	0.00013436947462780064	0.3279619894864537	0.0067064083457526085	0.005847953216374269
6	AAAS	0.0011020192575202216	0.4176794726542383	0.1672876304023845	0.5564167285325414
7	AACS	2.0009621827833007e-05	0.3217622438656696	0.0018628912071535022	0.06666666666666667
8	AAGAB	2.7447944740833087e-05	0.3500129466597618	0.005588673621460507	0.2
9	AAK1	0.0010453678581088624	0.4275660287838052	0.11587183308494783	0.36534339187072307
10	AAMDC	7.43262683376341e-05	0.35306024725753093	0.0018628912071535022	0.26666666666666666
11	AAMP	0.0016479302540606732	0.4060630335194132	0.11289120715350223	0.7397081813444502
12	AANAT	6.674940341953737e-06	0.3452084530422014	0.0014903129657228018	0.1
13	AAR2	0.0005343521261372749	0.3951811338222038	0.05253353204172876	0.5301168714414145
14	AARD	1.575266558474577e-05	0.3377615825091098	0.0029806259314456036	0.08333333333333333
15	AARS1	0.0007233824595712886	0.4352527637651605	0.18591654247391953	0.6382124248496994
16	AARS2	0.0012574444943924635	0.4079830981664529	0.10506706408345752	0.45688294113224565
17	AASDH	0.0	0.329480825479363	0.0022354694485842027	1.0
18	AASDHPPT	0.00763012458267513	0.46478510028653297	0.4672131147540984	0.7365561676738024
19	AASS	2.0917457964427414e-07	0.335179254055171	0.0018628912071535022	0.2
20	AATF	0.0027517698351652406	0.4170244491863126	0.1631892697466468	0.5880841680448509
21	AATK	2.8103449543172217e-06	0.36026651860077735	0.0067064083457526085	0.7192982456140351
22	ABAT	0.00022744694959154067	0.3558251255840481	0.011549925484351714	0.2056451612903226
23	ABCA1	0.0038934411953434668	0.3871175600210014	0.021609538002980627	0.11689070718877849
24	ABCA10	0.0	0.3264373830271075	0.00037257824143070045	1.0
25	ABCA12	0.0	0.2895676389731872	0.00037257824143070045	1.0
26	ABCA13	8.295186735347167e-06	0.32772345240019396	0.0014903129657228018	0.2
27	ABCA2	0.0009984005031594989	0.41141857103000484	0.09649776453055142	0.27104247104247103
