	Gene	betweenness	closeness	degree	clustering_coefficient
0	A1BG	0.0	1.0	0.0	0.0
1	A1CF	0.0005291688073998346	0.21621812364731344	0.014925373134328358	0.1
2	A2M	0.045357076884198655	0.2681781045751634	0.10074626865671642	0.010582010582010581
3	AAGAB	9.445484925447024e-05	0.23570897340548302	0.0037313432835820895	0.0
4	AAMP	0.0	0.21143803630173227	0.0	0.0
5	AANAT	0.001969725060986128	0.26124154397134897	0.007462686567164179	0.0
6	AAR2	3.795422933014533e-05	0.21033961918711094	0.0037313432835820895	0.0
7	AARS1	0.0	0.20976834417436951	0.0	0.0
8	AARS2	0.0	0.20290526966465772	0.0	0.0
9	AASDHPPT	0.0002476661136149828	0.24627545551982852	0.0037313432835820895	0.0
10	AATF	0.006691737514018954	0.28140595817641834	0.055970149253731345	0.06666666666666667
11	ABAT	0.0	1.0	0.0	0.0
12	ABCA1	0.06450953514579484	0.28273910234718674	0.12313432835820895	0.0071301247771836
13	ABCA2	0.0	0.21438734809078397	0.0	0.0
14	ABCA4	0.0	0.17622471479244559	0.0	0.0
15	ABCB1	0.000662112071803286	0.24849271365614944	0.007462686567164179	0.0
16	ABCB11	0.0	0.20618718592964824	0.0	0.0
17	ABCB4	0.0	0.20618718592964824	0.0	0.0
18	ABCB5	0.0	0.2116766467065868	0.0	0.0
19	ABCB7	0.0	1.0	0.0	0.0
20	ABCB8	0.00030434199802043904	0.23612074502247912	0.0037313432835820895	0.0
21	ABCC2	0.0014137590292720213	0.23477572289772147	0.014925373134328358	0.1
22	ABCC8	0.0008720023777575838	0.19524993095829882	0.011194029850746268	0.16666666666666666
23	ABCC9	0.002348832403505306	0.24116396840807117	0.014925373134328358	0.2
24	ABCD1	0.0	0.20562901313287246	0.007462686567164179	1.0
25	ABCD2	0.0	0.20562901313287246	0.007462686567164179	1.0
26	ABCD3	0.00025624502145307044	0.20874877921370005	0.011194029850746268	0.5
27	ABCD4	0.0006206848376058789	0.25081184336198664	0.011194029850746268	0.0
28	ABCE1	0.0044793368381665765	0.20408571111357832	0.0037313432835820895	0.0
29	ABCF1	0.0	0.2174509664750278	0.0	0.0
30	ABCF3	0.005976641618824465	0.24751568685535777	0.03731343283582089	0.0
31	ABCG1	0.0	1.0	0.0	0.0
32	ABCG4	0.0	1.0	0.0	0.0
33	ABCG5	0.0	1.0	0.0	0.0
34	ABCG8	0.0	1.0	0.0	0.0
35	ABHD16A	0.0306686471167944	0.2419320873914188	0.055970149253731345	0.008333333333333333
36	ABHD5	5.874620431220026e-05	0.20020475734076848	0.0037313432835820895	0.0
37	ABI1	0.005156508590333209	0.27733856366928183	0.07835820895522388	0.11255411255411256
38	ABI2	0.00727723003102671	0.271593629029875	0.05223880597014925	0.06666666666666667
39	ABI3	0.014368640469366931	0.2699186514346128	0.055970149253731345	0.016666666666666666
40	ABI3BP	0.0	0.2125529011817488	0.0	0.0
41	ABL1	0.2559550660526649	0.3363217213114754	0.39925373134328357	0.05745932848736587
42	ABL2	0.0013398309678485279	0.26474061698879514	0.033582089552238806	0.2
43	ABLIM1	0.010971753133189243	0.28328812723461966	0.04477611940298507	0.038461538461538464
44	ABLIM3	0.0	0.2180442209147846	0.0	0.0
45	ABR	0.0	0.19582818425874632	0.0	0.0
46	ABRA	0.0	0.24378017081321945	0.0037313432835820895	1.0
47	ABRAXAS1	0.0003907620828649188	0.2497079359904366	0.0037313432835820895	0.0
48	ABRAXAS2	0.0	0.22972331225474268	0.0	0.0
49	ABT1	0.0	0.2341477084554047	0.0	0.0
50	ABTB1	0.0	0.25977953646127755	0.0037313432835820895	1.0
51	ABTB2	0.0005105007301159112	0.24521103462995572	0.007462686567164179	0.0
52	ACAA2	0.0	0.1972444577977123	0.0	0.0
