	Gene	betweenness	closeness	degree	clustering_coefficient
0	A1BG	0.00020927848532085552	0.31332030159173413	0.001145912910618793	0.022222222222222223
1	A1CF	8.540732811395949e-06	0.311719952128569	0.00089126559714795	0.03571428571428571
2	A2M	0.0011212958089400831	0.3505828626367023	0.011968423733129615	0.03493840985442329
3	AAAS	2.4543375027920294e-06	0.3035272084070336	0.00025464731347084286	0.0
4	AACS	3.369132732159293e-06	0.3977313009571074	0.00012732365673542143	0.0
5	AAGAB	5.28610927553195e-06	0.39774214659685864	0.0006366182836771072	0.26666666666666666
6	AAK1	0.0	0.28706947451289117	0.0	0.0
7	AAMDC	2.9593435273100687e-05	0.400813387925586	0.0005092946269416857	0.5
8	AAMP	1.8889263535754083e-05	0.4043579507651364	0.0021645021645021645	0.16993464052287582
9	AANAT	1.5440073318039941e-06	0.3161248374512354	0.00025464731347084286	0.0
10	AAR2	6.404044057233047e-05	0.4002963938745266	0.0012732365673542145	0.2545454545454545
11	AARS1	2.4574889668876844e-05	0.40885774351786963	0.004838298955946015	0.22402159244264508
12	AARS2	6.636114813342906e-06	0.39953981428219243	0.0006366182836771072	0.4
13	AASDHPPT	2.98804384460222e-05	0.4055496858143802	0.0021645021645021645	0.16339869281045752
14	AASS	4.3677030193465565e-06	0.3996821395297857	0.0006366182836771072	0.26666666666666666
15	AATF	0.00010838414243427793	0.4078516902944384	0.004710975299210593	0.10526315789473685
16	AATK	1.3801611612516585e-06	0.30057493766356874	0.0003819709702062643	0.3333333333333333
17	ABAT	3.0128877365567734e-06	0.30925474398388636	0.0003819709702062643	0.16666666666666666
18	ABCA1	0.0009695163914767713	0.4076579094466182	0.004838298955946015	0.04588394062078273
19	ABCA10	0.0	0.30852211434735705	0.00012732365673542143	1.0
20	ABCA12	0.0	0.2896058770971905	0.0	0.0
21	ABCA13	4.279655827298819e-06	0.31318575140102634	0.00025464731347084286	0.3333333333333333
22	ABCA2	3.062357755324296e-07	0.29160335865653736	0.00012732365673542143	0.0
23	ABCA3	4.025396799518632e-05	0.3975145123047993	0.00025464731347084286	0.3333333333333333
24	ABCA4	0.0	0.22490170380078636	0.0	0.0
25	ABCA5	1.345517293486711e-07	0.2953887280017821	0.00012732365673542143	0.0
26	ABCA6	0.0	0.25145241091592396	0.0	0.0
27	ABCA7	0.0	0.3971465134642089	0.0	0.0
28	ABCA9	0.0	0.28662946077660745	0.0	0.0
29	ABCB1	0.00027249698032447405	0.4011440829460136	0.0017825311942959	0.13333333333333333
30	ABCB10	1.5081693508072263e-08	0.39742786300100813	0.00025464731347084286	0.6666666666666666
31	ABCB11	2.837539504376157e-05	0.3976987675864325	0.0003819709702062643	0.3333333333333333
32	ABCB4	3.3548031624758357e-08	0.28720513527350056	0.00012732365673542143	0.0
33	ABCB5	0.0	0.2874995072338077	0.0	0.0
34	ABCB6	2.9372367709766487e-06	0.39952887038457324	0.0006366182836771072	0.33333333333333337
35	ABCB8	7.127685937149002e-08	0.29214653393955176	0.00012732365673542143	0.0
36	ABCB9	0.0	0.3971465134642089	0.0	0.0
37	ABCC1	0.0	0.2915042868277475	0.0	0.0
38	ABCC12	0.0	0.39715732723411207	0.00012732365673542143	1.0
39	ABCC2	0.00016536836724038659	0.40164114990637734	0.005092946269416858	0.06707317073170732
40	ABCC3	0.0	0.2918717733221275	0.0	0.0
41	ABCC4	4.004687620393343e-05	0.3985681495245382	0.0006366182836771072	0.5333333333333333
42	ABCC5	0.0	0.2898936698797575	0.0	0.0
43	ABCC6	2.5993533711744257e-06	0.3021690041639908	0.0006366182836771072	0.0
44	ABCC8	1.2757250229912704e-06	0.28834064761001066	0.0003819709702062643	0.3333333333333333
45	ABCC9	1.5147102621717608e-07	0.29817245185821173	0.00012732365673542143	0.0
46	ABCD1	2.0572599916053114e-06	0.39850281405387683	0.0014005602240896359	0.25757575757575757
47	ABCD2	0.0	0.39742786300100813	0.0003819709702062643	1.0
48	ABCD3	6.399226278950264e-05	0.4043355325164939	0.004583651642475172	0.08708708708708708
49	ABCD4	5.548419362607394e-06	0.39827430849466183	0.0005092946269416857	0.3
50	ABCE1	5.506575856473496e-05	0.40292817679558013	0.00267379679144385	0.1341991341991342
51	ABCF1	1.4952324734240247e-05	0.40557223890557226	0.0056022408963585435	0.29090909090909095
52	ABCF2	1.859067293855064e-05	0.40372000332143154	0.0016552075375604787	0.1868131868131868
53	ABCF3	6.29358773950608e-05	0.40130963517305895	0.002291825821237586	0.1111111111111111
54	ABCG2	0.0	0.3972871384213107	0.00012732365673542143	1.0
55	ABCG4	0.0	0.2939125879057771	0.0	0.0
56	ABCG5	2.6044701453146967e-06	0.30365990756547445	0.00025464731347084286	0.3333333333333333
57	ABCG8	4.60953517159041e-06	0.3037294629656623	0.00089126559714795	0.0
58	ABHD1	0.0	0.24479315263908702	0.0	0.0
59	ABHD10	2.8365770230838157e-08	0.39774214659685864	0.00025464731347084286	0.6666666666666666
60	ABHD11	0.0	0.4000987491770902	0.0003819709702062643	1.0
61	ABHD14A	1.1555760504447794e-07	0.3068798653482011	0.0010185892538833714	0.5
62	ABHD14B	0.0	0.3971465134642089	0.0	0.0
63	ABHD16A	0.0004343775127148084	0.3074490957379537	0.0024191494779730073	0.005263157894736842
64	ABHD17A	3.3927402703271183e-05	0.3167014069828035	0.0014005602240896359	0.0303030303030303
65	ABHD17C	0.0	0.3971465134642089	0.0	0.0
66	ABHD18	0.0	0.3971465134642089	0.0	0.0
67	ABHD2	0.0	0.3971465134642089	0.0	0.0
68	ABHD3	0.0	0.3971465134642089	0.0	0.0
69	ABHD4	6.737682602445654e-08	0.3992663965838169	0.00025464731347084286	0.6666666666666666
70	ABHD5	9.909583919365746e-05	0.39718977207744466	0.00025464731347084286	0.3333333333333333
71	ABHD6	2.8293812968110604e-08	0.3973845525132816	0.00025464731347084286	0.6666666666666666
72	ABI1	0.00012376907052620548	0.3411131898971001	0.0070028011204481795	0.09350649350649351
73	ABI2	0.00048806458278935797	0.4109311170587407	0.006875477463712758	0.0787878787878788
74	ABI3	5.114062651215466e-05	0.3259004379301099	0.004074357015533486	0.045454545454545456
75	ABI3BP	2.785367829037166e-05	0.4012875536480687	0.0010185892538833714	0.19444444444444445
76	ABITRAM	5.636452408029938e-06	0.39748201438848924	0.00012732365673542143	0.0
77	ABL1	0.0073602737356839	0.43332045987938567	0.03615991851285969	0.03973313565604151
78	ABL2	0.0001560571442783045	0.3384065704607675	0.0035650623885918	0.270935960591133
79	ABLIM1	7.733955915651361e-05	0.4069868020871118	0.0028011204481792717	0.09486166007905138
80	ABLIM2	6.785480036362454e-07	0.3025764427664606	0.0003819709702062643	0.16666666666666666
81	ABLIM3	1.3248662317153848e-06	0.3045793397231097	0.0005092946269416857	0.2
82	ABO	3.5993266299812186e-06	0.29780109842993935	0.00025464731347084286	0.0
83	ABR	2.5086375413324517e-06	0.30237572038641736	0.00012732365673542143	0.0
84	ABRA	4.251121189160032e-06	0.30805947452901916	0.0007639419404125286	0.2380952380952381
85	ABRACL	0.0	0.3971465134642089	0.0	0.0
86	ABRAXAS1	1.5122270418858637e-05	0.4001865671641791	0.0014005602240896359	0.3939393939393939
87	ABRAXAS2	5.295767280715762e-05	0.39902609837500685	0.0010185892538833714	0.3333333333333333
88	ABT1	9.603651428856009e-05	0.40301724137931033	0.0012732365673542145	0.16363636363636364
89	ABTB1	9.026660958231647e-07	0.31898700957879544	0.0005092946269416857	0.2
90	ABTB2	1.443025872573046e-08	0.4001316764052341	0.0005092946269416857	0.9
91	ACAA1	8.570972632498222e-07	0.3989824388642705	0.002037178507766743	0.3088235294117647
92	ACAA2	2.687953292236554e-05	0.4006922696555134	0.002291825821237586	0.14619883040935674
93	ACACA	1.4619810323571598e-05	0.3231423634188489	0.0010185892538833714	0.05555555555555555
94	ACACB	1.4298725992138412e-07	0.39805692765330347	0.0003819709702062643	0.5
95	ACAD11	3.7580401570334304e-08	0.29105058365758757	0.00025464731347084286	0.0
96	ACAD8	1.399816652221606e-07	0.29750346740638	0.00012732365673542143	0.0
97	ACAD9	5.351975887804352e-07	0.39823081333442545	0.0012732365673542145	0.2909090909090909
98	ACADL	0.0	0.3971465134642089	0.0	0.0
99	ACADM	9.008925652665606e-06	0.4035412920182598	0.0014005602240896359	0.30303030303030304
100	ACADS	0.0	0.24309189693676878	0.0	0.0
101	ACADSB	1.7439404933736818e-07	0.39962738705170003	0.0003819709702062643	0.5
102	ACAN	0.0002114697480567131	0.2970732601478645	0.0019098548510313217	0.058333333333333334
103	ACAP1	2.986904479991264e-06	0.4036082902127895	0.0010185892538833714	0.3333333333333333
104	ACAP2	5.221645265274231e-08	0.39865529681862905	0.00025464731347084286	0.6666666666666666
105	ACAP3	4.1265949815346115e-06	0.2942802380712196	0.00025464731347084286	0.0
106	ACAT1	9.652422398844604e-05	0.4061595010024504	0.004456327985739751	0.15079365079365079
107	ACAT2	8.588356335255688e-05	0.4034519956850054	0.003437738731856379	0.10317460317460317
108	ACBD3	2.5579793996039683e-05	0.4002414729852098	0.0019098548510313217	0.275
109	ACBD6	3.9667236217243384e-07	0.3993210501820571	0.00025464731347084286	0.6666666666666666
110	ACCS	0.0	0.23324538258575198	0.0	0.0
111	ACD	4.650554589699554e-06	0.31522984158544226	0.0010185892538833714	0.1111111111111111
112	ACE	4.8477235939375047e-08	0.2423849643551523	0.00012732365673542143	0.0
113	ACE2	8.965137251887567e-07	0.303363074811256	0.00012732365673542143	0.0
114	ACER3	0.0	0.2918717733221275	0.0	0.0
115	ACHE	0.00020712294273531116	0.30542119479866825	0.0005092946269416857	0.0
116	ACIN1	0.0002693551193002625	0.4109542726734849	0.008148714031066972	0.1605769230769231
117	ACKR1	3.577304805863271e-05	0.25593065693430656	0.00089126559714795	0.03571428571428571
118	ACKR2	6.035287139838513e-05	0.2924452642553533	0.0017825311942959	0.009523809523809523
119	ACKR3	2.7795253092360126e-06	0.4001865671641791	0.0003819709702062643	0.5
120	ACKR4	0.00010785306353771712	0.3092875318066158	0.0012732365673542145	0.03636363636363636
121	ACLY	5.813845544913362e-05	0.4115340123578704	0.0052202699261522795	0.17305458768873402
122	ACMSD	8.291247707410765e-08	0.29353994767558866	0.00012732365673542143	0.0
123	ACO1	0.00011889350461992564	0.4009015199406316	0.0017825311942959	0.13333333333333333
124	ACO2	1.0286421061100396e-05	0.402106191762695	0.0016552075375604787	0.2857142857142857
125	ACOT1	1.0488173532029057e-06	0.3993647838348438	0.0005092946269416857	0.5
126	ACOT13	2.5844697520697094e-07	0.30323693894097836	0.00025464731347084286	0.0
127	ACOT2	0.0	0.39716814159292035	0.00012732365673542143	1.0
128	ACOT7	1.5742074720224202e-05	0.3086265631281606	0.0007639419404125286	0.047619047619047616
129	ACOT8	4.4141524924233004e-05	0.40185139267708075	0.00089126559714795	0.25
130	ACOT9	4.467322794971629e-05	0.40060422960725073	0.00089126559714795	0.2857142857142857
131	ACOX1	5.8361973140775006e-05	0.3976228770820271	0.0010185892538833714	0.19444444444444445
132	ACOX3	0.0	0.294327743810158	0.0	0.0
133	ACOXL	0.0	0.3046302291096677	0.0	0.0
134	ACP1	3.253485509100963e-05	0.406431119037004	0.0028011204481792717	0.1541501976284585
135	ACP2	1.7277500682452125e-07	0.3982634338138925	0.0005092946269416857	0.6
136	ACP3	8.718773113930553e-07	0.27839596892714674	0.00025464731347084286	0.0
137	ACP5	4.723561314173419e-05	0.39908068620208487	0.0012732365673542145	0.14545454545454545
138	ACP6	2.5336043256545226e-05	0.3131588552289757	0.0017825311942959	0.09523809523809523
139	ACR	1.120868525546491e-06	0.2961684501208146	0.00025464731347084286	0.0
140	ACSBG1	0.0	0.2998519858564263	0.0	0.0
141	ACSBG2	0.0	0.3061327288754565	0.0	0.0
142	ACSF2	3.3020804710295e-05	0.3988297057858471	0.0005092946269416857	0.3
143	ACSF3	2.3124288011534753e-07	0.40003291097581045	0.0005092946269416857	0.8
144	ACSL1	2.2927039417878463e-07	0.39782893301331007	0.00025464731347084286	0.6666666666666666
145	ACSL3	1.3137404775868978e-05	0.3999232287782408	0.0019098548510313217	0.16666666666666666
146	ACSL4	2.541350913979501e-07	0.3098065036851384	0.00012732365673542143	0.0
147	ACSL5	0.0	0.24733352551167484	0.0	0.0
148	ACSL6	0.0	0.24572516383362253	0.0	0.0
149	ACSM5	0.0	0.30675723989989273	0.0	0.0
150	ACSS1	0.0	0.2487126146710773	0.0	0.0
151	ACSS2	0.0	0.39742786300100813	0.00012732365673542143	1.0
152	ACSS3	0.0	1.0	0.0	0.0
153	ACTA1	0.0022302589143532877	0.418957345971564	0.01578813343519226	0.042193548387096776
154	ACTA2	0.0003203332659770317	0.412231862758952	0.0071301247771836	0.16729323308270677
155	ACTB	0.003925179665280481	0.4335136420376865	0.02915711739241151	0.05578127966584394
156	ACTBL2	8.959707794113303e-06	0.40670310060227527	0.0029284441049146934	0.3115942028985507
157	ACTC1	0.0004094472560751743	0.4086286594761171	0.0053475935828877	0.10963455149501662
158	ACTG1	0.0011484300417659308	0.424863825696892	0.014896867838044309	0.07040417209908735
159	ACTG2	5.300175125336017e-05	0.40080237414816444	0.0012732365673542145	0.2
160	ACTL6A	9.723127365855418e-07	0.30281514698555057	0.0003819709702062643	0.16666666666666666
161	ACTL6B	4.1648970671627135e-06	0.40213945024951064	0.0012732365673542145	0.2363636363636364
162	ACTL7A	1.1246568143770065e-08	0.29140528229512125	0.00012732365673542143	0.0
163	ACTL8	1.306375152656363e-05	0.39717895654068186	0.00012732365673542143	0.0
164	ACTL9	0.0	0.3075009486865961	0.0	0.0
165	ACTN1	6.905015234826269e-05	0.3302839545310448	0.0033104150751209573	0.011396011396011395
166	ACTN2	0.0008445905243973468	0.4100070274068869	0.0071301247771836	0.06015037593984962
167	ACTN3	6.981631931924156e-05	0.4023613141706436	0.0017825311942959	0.13333333333333333
168	ACTN4	0.00030652904052120455	0.4167785810212304	0.009039979628214923	0.09898278560250391
169	ACTR10	3.105812017635264e-07	0.39833956905262585	0.0007639419404125286	0.5714285714285714
170	ACTR1A	7.756090601227258e-06	0.40386532284859894	0.00267379679144385	0.19047619047619047
171	ACTR1B	1.6422852333010336e-05	0.4036864828960478	0.0016552075375604787	0.21978021978021978
172	ACTR2	1.045843470885889e-05	0.3185898696022541	0.0021645021645021645	0.1568627450980392
173	ACTR3	6.753496460297926e-05	0.4074187871847155	0.005729564553093965	0.1816425120772947
174	ACTR3B	9.02096798323039e-05	0.39967118783394984	0.002291825821237586	0.2046783625730994
175	ACTR5	1.9791811094515e-05	0.400813387925586	0.002037178507766743	0.6102941176470589
176	ACTR6	2.039969551707902e-05	0.40012070006035005	0.0021645021645021645	0.12418300653594772
