	Gene	betweenness	closeness	degree	clustering_coefficient
0	A1BG	0.0	1.0	0.0	0.0
1	A1CF	0.0012539621728666498	0.27036986753040204	0.0026791694574681848	0.1
2	A2M	0.00263354276387596	0.3215760455835198	0.012726054922973878	0.03684210526315789
3	AAAS	6.191113495410664e-05	0.3038162282326788	0.0006697923643670462	0.0
4	AACS	1.0921188163639005e-05	0.2722390391563324	0.008707300736771601	0.6703296703296703
5	AADAC	8.038398084020763e-06	0.2562405793904636	0.004018754186202277	0.8571428571428572
6	AADACL4	0.0	0.2654125890103195	0.0	0.0
7	AADAT	0.0010553521443426544	0.30415430267062316	0.006028131279303416	0.08888888888888889
8	AAGAB	2.4475503315835575e-05	0.3251691159318871	0.0026791694574681848	0.3
9	AAK1	0.001998441154503063	0.33156530219061436	0.025452109845947757	0.11201079622132254
10	AAMP	2.2192759974543793e-05	0.2982456140350877	0.0020093770931011385	0.3333333333333333
11	AANAT	0.00017205798427244164	0.2954453934679864	0.0020093770931011385	0.0
12	AAR2	0.0007243594954303593	0.32497202536367026	0.0020093770931011385	0.0
13	AARS1	0.00030887593151256865	0.3089949904685907	0.0053583389149363695	0.4166666666666667
14	AARS2	0.00035713784755570075	0.3130403539107588	0.004688546550569324	0.5357142857142857
15	AASDH	5.965009703164488e-07	0.24966418912868274	0.0013395847287340924	0.6666666666666666
16	AASDHPPT	0.00032296877808820837	0.28340245588354884	0.004018754186202277	0.09523809523809523
17	AASS	0.0007397512843899126	0.30859141522590927	0.003348961821835231	0.06666666666666667
18	AATF	0.0015193929498276558	0.33720367682631835	0.012056262558606833	0.05847953216374269
19	AATK	0.0	0.221995732076313	0.0	0.0
20	ABAT	0.0003727453438561667	0.29139405087898995	0.010716677829872739	0.29411764705882354
21	ABCA1	0.0005545921943275522	0.329745712596097	0.008037508372404554	0.08974358974358974
22	ABCA10	0.0	0.28336789039313737	0.0	0.0
23	ABCA11P	2.7397460296392894e-06	0.30633323078275393	0.0013395847287340924	0.6666666666666666
24	ABCA17P	0.00018434150820522034	0.3239148619760201	0.0026791694574681848	0.2
25	ABCA2	0.0001256279092508135	0.30082651762014717	0.0006697923643670462	0.0
26	ABCA3	0.00018434150820522034	0.3239148619760201	0.0026791694574681848	0.2
27	ABCA4	0.0	0.20582633218657256	0.0	0.0
28	ABCA5	0.0	0.28174138000727594	0.0	0.0
29	ABCA7	0.00010747842270378219	0.2922493134027967	0.0013395847287340924	0.0
30	ABCB1	0.0	0.26236049159655955	0.0	0.0
31	ABCB10	0.000281651067455514	0.31466558316968013	0.004018754186202277	0.14285714285714285
32	ABCB6	1.5842969743977792e-05	0.3002627837849481	0.0006697923643670462	0.0
33	ABCB7	3.9334095165602876e-05	0.256523499319127	0.0006697923643670462	0.0
34	ABCB8	6.0343887530530096e-05	0.313829667484635	0.004018754186202277	0.4761904761904762
35	ABCC11	0.0	0.27916850242319863	0.0	0.0
36	ABCC12	0.0	0.23627919590494592	0.0	0.0
37	ABCC2	0.0008624171557963399	0.3186577058473918	0.003348961821835231	0.26666666666666666
38	ABCC3	0.0001092421312480187	0.3259522529052774	0.0020093770931011385	0.3333333333333333
39	ABCC4	0.0	0.2553721582061663	0.0	0.0
