	Gene	betweenness	closeness	degree	clustering_coefficient
0	A1BG	0.0004591991687815093	0.4835693491883357	0.042270531400966184	0.36687873529978793
1	A1CF	0.0010541738077267332	0.4826881402679275	0.040319583797844664	0.15829228243021345
2	A2M	0.0020322895933129726	0.49598927098357753	0.0856558900037161	0.21596322470111845
3	A2ML1	0.0006265388310130209	0.48100613496932515	0.032701597918989224	0.3605459696111254
4	A3GALT2	0.0	0.32455210782528066	9.29022668153103e-05	1.0
5	A4GALT	0.0001231210564141445	0.46075550645259866	0.011612783351913786	0.136
6	A4GNT	0.0005415264999792088	0.44803309789938056	0.014399851356373096	0.13052109181141439
7	AAAS	0.0008395937213244871	0.49333031309775494	0.07190635451505016	0.32932566474952074
8	AACS	0.0008604154054452382	0.49079800686080577	0.07107023411371237	0.31635352139115
9	AADAC	0.0006399017480007564	0.4743707647628267	0.035395763656633224	0.23380192659163676
10	AADACL2	0.0007606449323140186	0.4688112891652715	0.029821627647714604	0.20678779435382444
11	AADACL3	0.00011196160131784363	0.460290249859102	0.021274619100706056	0.31748623504841467
12	AADACL4	8.514524826298371e-05	0.45883564690184697	0.021274619100706056	0.34634516802734
13	AADAT	0.0001767330301565937	0.46759226126577447	0.023411371237458192	0.37580776711211494
14	AAGAB	4.839010633140101e-05	0.4525431163853808	0.006967670011148272	0.20982456140350877
15	AAK1	0.011425367257379273	0.5309621844186803	0.25399479747305836	0.21123612335155245
16	AAMDC	2.0069343903391056e-05	0.44805358081697033	0.004180602006688963	0.21932367149758455
17	AAMP	0.0008606201994283669	0.49207943162704293	0.07729468599033816	0.37256441037953647
18	AANAT	0.00320406989402421	0.50067690107027	0.09318097361575622	0.1732769818035932
19	AAR2	0.0007705553488254707	0.47937097997016315	0.04050538833147529	0.28107614468960596
20	AARD	7.149581583685384e-05	0.4394941590618624	0.007710888145670754	0.16437177280550774
21	AARS1	0.0028227205437098674	0.5110682345579225	0.14371980676328502	0.32126529800948406
22	AARS2	0.0013628211964552025	0.49974504104839124	0.10005574136008918	0.3246684340993931
23	AARSD1	9.796831957557798e-05	0.46323824829248694	0.018487551096246748	0.35165829145728644
24	AASDH	0.00047757073959515706	0.48402311339391546	0.05091044221479004	0.2779905069602329
25	AASDHPPT	0.002421427956476786	0.5169312727464529	0.1758639910813824	0.4522960431668722
26	AASS	0.0005534016256247726	0.4766200607902736	0.0288926049795615	0.2246269271992745
27	AATF	0.00012932572071460961	0.4853294376903459	0.051932367149758456	0.5747955532839254
28	AATK	2.858503942611639e-05	0.4514799032592422	0.007060572277963582	0.17566643882433355
29	ABAT	0.0007293126203053733	0.4882185912125137	0.05128205128205128	0.22011688549938413
30	ABCA1	0.0030502960765350817	0.5086016762240847	0.12263099219620958	0.24643635446057854
31	ABCA10	0.0003329972569354695	0.48085273409709783	0.0405982905982906	0.3994545625528981
32	ABCA11P	0.0	0.3715547636198203	0.0001858045336306206	1.0
33	ABCA12	0.0005913416420713662	0.486280639079091	0.04821627647714604	0.3300133392618942
34	ABCA13	0.0017576789243717258	0.4906997121041432	0.051839464882943144	0.30362718884849416
35	ABCA17P	3.394296123857325e-08	0.3723028415134478	0.0003716090672612412	0.6
36	ABCA2	0.0019700454866646423	0.5008688097306689	0.08426235600148643	0.21237414334908616
37	ABCA3	0.0007689300137097341	0.4898780365890233	0.050353028613898176	0.32209333143055185
38	ABCA4	0.0021278621945714686	0.4973358368009743	0.08435525826830174	0.22940201509137698
39	ABCA5	0.0006314420235239792	0.48587080462049476	0.053790412486064657	0.31009469358584957
40	ABCA6	0.0006300533886667196	0.4844298354011171	0.050353028613898176	0.3128920239478638
41	ABCA7	0.0015209216772755693	0.4977020541858162	0.08519137866963954	0.24864873854546057
42	ABCA8	0.000910131984124903	0.4854255925109587	0.05239687848383501	0.29453963472039163
43	ABCA9	0.00021857935488510172	0.47987563041668707	0.039669267930137496	0.42271662763466045
44	ABCB1	0.004262177611750335	0.5142055143104488	0.15570419918246006	0.2594551015209282
45	ABCB10	0.002367918500793705	0.5033382979816137	0.11454849498327759	0.29446172976795604
46	ABCB11	0.0014845065337659796	0.5005746099037209	0.10405053883314754	0.32032146043073784
47	ABCB4	0.0019146699930388874	0.5030799240285406	0.10962467484206614	0.31288192999325476
48	ABCB5	0.0009868534340020125	0.4990325372982331	0.0966183574879227	0.3491760880809872
49	ABCB6	0.0005731379097140064	0.487574935946867	0.0451505016722408	0.30509290947347073
50	ABCB7	0.0009086330093218414	0.48913233349137825	0.0559271646228168	0.23390246993162647
51	ABCB8	0.0010667256434107296	0.49458757033635287	0.07803790412486064	0.3633684389332427
52	ABCB9	0.000712124794730865	0.4943380999218179	0.07608695652173914	0.37898091068822776
53	ABCC1	0.0030102689936789134	0.5096331348638881	0.14659977703455965	0.28578274260312997
54	ABCC10	0.0006408613631854195	0.4940515198870797	0.08082497212931995	0.3616242395449807
55	ABCC11	0.0004341219258666054	0.49085946108384254	0.07320698625046451	0.4052582141501483
56	ABCC12	0.0008562132887388618	0.49467494447809407	0.08537718320327016	0.3686970714860198
57	ABCC2	0.0024299594253381325	0.5051673925929744	0.12151616499442586	0.27944038332597426
58	ABCC3	0.0013836675456775534	0.5017920229378936	0.10358602749907098	0.31595705353842196
59	ABCC4	0.0009084010401893764	0.49896901967772317	0.0956893348197696	0.3347678283879352
60	ABCC5	0.00226091494303676	0.5057278497342484	0.12987736900780378	0.2978205360256304
61	ABCC6	0.001492664163881949	0.5	0.10395763656633222	0.29256510915358097
62	ABCC8	0.009029358806127898	0.5202101966612702	0.19843924191750278	0.2057090253935038
63	ABCC9	0.0017326190150207998	0.49765150938126795	0.09578223708658491	0.2961037301032339
64	ABCD1	0.001856667265630797	0.49913419913419915	0.10154217762913414	0.266557501534612
65	ABCD2	0.0007620722602866979	0.4919188877177132	0.06531029357116314	0.3229624660545713
