gene	label
A1BG	False
A1CF	True
A2M	False
AAAS	
AACS	False
AADAC	False
AADACL4	
AADAT	False
AAGAB	False
AAK1	False
AAMP	
AANAT	
AAR2	False
AARS1	
AARS2	
AASDH	False
AASDHPPT	False
AASS	
AATF	
AATK	False
ABAT	False
ABCA1	
ABCA10	
ABCA11P	False
ABCA17P	False
ABCA2	False
ABCA3	
ABCA4	
ABCA5	False
ABCA7	
ABCB1	
ABCB10	
ABCB6	False
ABCB7	
ABCB8	
ABCC11	
ABCC12	False
ABCC2	
ABCC3	
ABCC4	False
ABCC5	
ABCC8	
ABCC9	
ABCD1	
ABCD2	False
ABCD3	False
ABCD4	False
ABCE1	False
ABCF1	
ABCF2	
ABCF3	False
ABCG1	False
ABCG5	False
ABCG8	
ABHD10	False
ABHD11	False
ABHD11-AS1	False
ABHD12B	False
ABHD14B	False
ABHD16A	False
ABHD17B	False
ABHD17C	False
ABHD18	False
ABHD2	
ABHD4	False
ABHD5	False
ABHD8	False
ABI1	True
ABI2	False
ABI3	
ABI3BP	False
ABL1	True
ABL2	True
ABLIM1	False
ABLIM2	
ABLIM3	False
ABR	
ABRACL	False
ABRAXAS1	True
ABRAXAS2	False
ABT1	False
ABTB1	False
ABTB2	
ACAA1	False
ACAA2	False
ACACA	False
ACACB	False
ACAD10	False
ACAD8	
ACAD9	
ACADL	False
ACADM	
ACADS	
ACADSB	
ACADVL	
ACAN	
ACAP1	
ACAP2	False
ACAP3	False
ACAT1	False
ACAT2	False
ACBD3	False
ACBD4	False
ACBD5	False
ACBD6	False
ACCS	
ACD	
ACE	
ACER2	False
ACER3	False
ACHE	
ACIN1	False
ACKR1	False
ACKR3	True
ACKR4	False
ACLY	
ACMSD	False
ACO1	
ACO2	
ACOT1	False
ACOT11	False
ACOT12	False
ACOT13	False
ACOT2	False
ACOT8	False
ACOT9	False
ACOX1	
ACOX3	False
ACP1	False
ACP2	False
ACP3	False
ACP4	False
ACP5	False
ACP6	False
ACR	False
ACRBP	False
ACSBG2	False
ACSF3	False
ACSL1	False
ACSL3	True
ACSL4	
ACSL5	
ACSL6	
ACSM1	
ACSM3	False
ACSS1	False
ACSS2	False
ACTA1	
ACTA2	
ACTB	
ACTBL2	False
ACTC1	
ACTG1	True
ACTG2	False
ACTL6A	
ACTL6B	
ACTL7A	False
ACTL9	
ACTN1	False
ACTN2	
ACTN3	False
ACTN4	
ACTR1A	False
ACTR1B	False
ACTR2	False
ACTR3	False
ACTR3B	False
ACTR3C	False
ACTR5	False
ACTR6	False
ACTR8	False
ACTRT3	False
ACVR1	True
ACVR1B	True
ACVR1C	False
ACVR2A	True
ACVR2B	
ACVRL1	
ACY1	
ACY3	False
ACYP1	False
ACYP2	False
ADA	False
ADA2	False
ADAD1	False
ADAL	False
ADAM10	
ADAM11	False
ADAM12	
ADAM15	False
ADAM17	
ADAM19	False
ADAM1A	False
ADAM2	
ADAM22	
ADAM33	
ADAM9	
ADAMTS1	
ADAMTS17	
ADAMTS8	False
ADAMTSL4	
ADAMTSL5	False
ADAP1	False
ADAP2	False
ADAR	False
ADARB1	False
ADARB2	
ADAT1	False
ADAT2	False
ADAT3	False
ADCK1	
ADCK2	False
ADCK5	False
ADCY1	
ADCY10	False
ADCY2	
ADCY3	
ADCY4	
ADCY5	
ADCY6	
ADCY7	
ADCY8	
ADCY9	
ADCYAP1	
ADD1	False
ADD2	
ADGRA2	
ADGRA3	False
ADGRB1	False
ADGRB2	False
ADGRD1	
ADGRE5	
ADGRF1	False
ADGRF3	False
ADGRG1	
ADGRG5	False
ADGRG6	
ADGRL1	
ADGRL2	
ADGRV1	
ADH1A	False
ADH1B	
ADH4	False
ADH5	
ADH6	False
ADH7	False
ADHFE1	False
ADI1	False
ADIPOQ	
ADIPOR2	False
ADK	False
ADM	False
ADNP	
ADNP2	False
ADORA1	False
ADORA2A	False
ADORA2A-AS1	False
ADORA2B	False
ADORA3	False
ADPGK	False
ADPRHL1	False
ADPRM	False
ADPRS	False
ADRA1B	
ADRA1D	False
ADRA2A	False
ADRA2B	False
ADRA2C	False
ADRB1	False
ADRB2	
ADRB3	
ADRM1	False
ADSL	False
ADSS1	False
ADSS2	False
ADTRP	False
AEBP2	False
AFAP1	False
AFAP1L1	False
AFDN	True
AFF1	True
AFF3	True
AFF4	True
AFG3L1P	False
AFG3L2	
AFMID	
AFP	
AFTPH	False
AGA	
AGAP1	False
AGAP2	
AGAP2-AS1	False
AGAP3	False
AGBL2	
AGBL3	
AGBL5	
AGER	
AGFG1	False
AGFG2	False
AGGF1	
AGK	False
AGL	
AGMAT	False
AGO1	True
AGO2	
AGO3	False
AGO4	
AGPAT1	False
AGPAT2	
AGPAT3	False
AGPAT4	False
AGPAT5	False
AGPS	
AGR2	False
AGR3	False
AGRN	False
AGRP	
AGT	
AGTPBP1	False
AGTR1	
AGTR2	
AGTRAP	False
AGXT	
AGXT2	False
AHCTF1	
AHCY	False
AHCYL1	False
AHCYL2	
AHDC1	False
AHI1	
AHI1-DT	False
AHNAK	
AHR	
AHRR	False
AHSA1	
AHSA2P	False
AHSG	False
AHSP	False
AICDA	
AIDA	False
AIF1L	False
AIFM1	
AIFM2	
AIG1	False
AIM2	False
AIMP1	False
AIMP2	False
AIP	
AIPL1	
AIRE	
AJAP1	
AJM1	False
AJUBA	True
AK1	
AK2	
AK3	False
AK4	False
AK5	False
AK7	False
AK9	False
AKAP1	False
AKAP10	
AKAP11	
AKAP12	
AKAP13	
AKAP14	False
AKAP17A	False
AKAP2	False
AKAP3	False
AKAP4	False
AKAP5	False
AKAP6	
AKAP7	False
AKAP8	
AKAP8L	False
AKAP9	
AKIP1	False
AKIRIN1	False
AKIRIN2	False
AKR1A1	False
AKR1B1	False
AKR1B10	
AKR1C1	False
AKR1C2	
AKR1C3	
AKR1C4	False
AKR1D1	
AKR1E2	False
AKR7A2	False
AKR7A3	False
AKT1	True
AKT1S1	
AKT2	True
AKT3	True
AKTIP	False
ALAD	
ALAS1	False
ALAS2	
ALB	
ALCAM	
ALDH16A1	False
ALDH18A1	False
ALDH1A1	
ALDH1A2	False
ALDH1A3	False
ALDH1B1	False
ALDH1L1	
ALDH1L2	False
ALDH2	
ALDH3A1	False
ALDH3A2	
ALDH3B1	False
