gene	label
A1BG	False
A1CF	True
A2M	False
A2ML1	
A3GALT2	False
A4GALT	False
A4GNT	False
AAAS	
AACS	False
AADAC	False
AADACL2	False
AADACL3	False
AADACL4	
AADAT	False
AAGAB	False
AAK1	False
AAMDC	False
AAMP	
AANAT	
AAR2	False
AARD	False
AARS1	
AARS2	
AARSD1	False
AASDH	False
AASDHPPT	False
AASS	
AATF	
AATK	False
ABAT	False
ABCA1	
ABCA10	
ABCA12	
ABCA13	
ABCA2	False
ABCA3	
ABCA4	
ABCA5	False
ABCA6	False
ABCA7	
ABCA8	False
ABCA9	False
ABCB1	
ABCB10	
ABCB11	
ABCB4	
ABCB5	
ABCB6	False
ABCB7	
ABCB8	
ABCB9	False
ABCC1	
ABCC10	
ABCC11	
ABCC12	False
ABCC2	
ABCC3	
ABCC4	False
ABCC5	
ABCC6	
ABCC8	
ABCC9	
ABCD1	
ABCD2	False
ABCD3	False
ABCD4	False
ABCE1	False
ABCF1	
ABCF2	
ABCF3	False
ABCG1	False
ABCG2	
ABCG4	False
ABCG5	False
ABCG8	
ABHD1	False
ABHD10	False
ABHD11	False
ABHD12	False
ABHD12B	False
ABHD13	False
ABHD14A	False
ABHD14A-ACY1	False
ABHD14B	False
ABHD15	
ABHD16A	False
ABHD16B	False
ABHD17A	False
ABHD17B	False
ABHD17C	False
ABHD18	False
ABHD2	
ABHD3	False
ABHD4	False
ABHD5	False
ABHD6	False
ABHD8	False
ABI1	True
ABI2	False
ABI3	
ABI3BP	False
ABITRAM	False
ABL1	True
ABL2	True
ABLIM1	False
ABLIM2	
ABLIM3	False
ABO	
ABR	
ABRA	False
ABRACL	False
ABRAXAS1	True
ABRAXAS2	False
ABT1	False
ABTB1	False
ABTB2	
ACAA1	False
ACAA2	False
ACACA	False
ACACB	False
ACAD10	False
ACAD11	False
ACAD8	
ACAD9	
ACADL	False
ACADM	
ACADS	
ACADSB	
ACADVL	
ACAN	
ACAP1	
ACAP2	False
ACAP3	False
ACAT1	False
ACAT2	False
ACBD3	False
ACBD4	False
ACBD5	False
ACBD6	False
ACBD7	False
ACCS	
ACCSL	False
ACD	
ACE	
ACE2	False
ACER1	False
ACER2	False
ACER3	False
ACHE	
ACIN1	False
ACKR1	False
ACKR2	False
ACKR3	True
ACKR4	False
ACLY	
ACMSD	False
ACO1	
ACO2	
ACOT1	False
ACOT11	False
ACOT12	False
ACOT13	False
ACOT2	False
ACOT4	False
ACOT6	False
ACOT7	False
ACOT8	False
ACOT9	False
ACOX1	
ACOX2	False
ACOX3	False
ACOXL	
ACP1	False
ACP2	False
ACP3	False
ACP4	False
ACP5	False
ACP6	False
ACP7	False
ACR	False
ACRBP	False
ACRV1	False
ACSBG1	False
ACSBG2	False
ACSF2	False
ACSF3	False
ACSL1	False
ACSL3	True
ACSL4	
ACSL5	
ACSL6	
ACSM1	
ACSM2A	
ACSM2B	False
ACSM3	False
ACSM4	
ACSM5	False
ACSM6	False
ACSS1	False
ACSS2	False
ACSS3	False
ACTA1	
ACTA2	
ACTB	
ACTBL2	False
ACTC1	
ACTG1	True
ACTG2	False
ACTL10	False
ACTL6A	
ACTL6B	
ACTL7A	False
ACTL7B	
ACTL8	False
ACTL9	
ACTN1	False
ACTN2	
ACTN3	False
ACTN4	
ACTR10	False
ACTR1A	False
ACTR1B	False
ACTR2	False
ACTR3	False
ACTR3B	False
ACTR3C	False
ACTR5	False
ACTR6	False
ACTR8	False
ACTRT1	False
ACTRT2	False
ACTRT3	False
ACVR1	True
ACVR1B	True
ACVR1C	False
ACVR2A	True
ACVR2B	
ACVRL1	
ACY1	
ACY3	False
ACYP1	False
ACYP2	False
ADA	False
ADA2	False
ADAD1	False
ADAD2	False
ADAL	False
ADAM10	
ADAM11	False
ADAM12	
ADAM15	False
ADAM17	
ADAM18	False
ADAM19	False
ADAM1A	False
ADAM2	
ADAM20	False
ADAM21	False
ADAM22	
ADAM23	
ADAM28	False
ADAM29	
ADAM30	False
ADAM32	False
ADAM33	
ADAM7	
ADAM8	False
ADAM9	
ADAMDEC1	False
ADAMTS1	
ADAMTS10	
ADAMTS12	
ADAMTS13	
ADAMTS14	False
ADAMTS15	
ADAMTS16	False
ADAMTS17	
ADAMTS18	
ADAMTS19	
ADAMTS2	
ADAMTS20	
ADAMTS3	
ADAMTS4	False
ADAMTS5	
ADAMTS6	
ADAMTS7	False
ADAMTS8	False
ADAMTS9	
ADAMTSL1	False
ADAMTSL2	False
ADAMTSL3	
ADAMTSL4	
ADAMTSL5	False
ADAP1	False
ADAP2	False
ADAR	False
ADARB1	False
ADARB2	
ADAT1	False
ADAT2	False
ADAT3	False
ADCK1	
ADCK2	False
ADCK5	False
ADCY1	
ADCY10	False
ADCY2	
ADCY3	
ADCY4	
ADCY5	
ADCY6	
ADCY7	
ADCY8	
ADCY9	
ADCYAP1	
ADCYAP1R1	False
ADD1	False
ADD2	
ADD3	
ADGB	
ADGRA1	
ADGRA2	
ADGRA3	False
ADGRB1	False
ADGRB2	False
ADGRB3	
ADGRD1	
ADGRD2	False
ADGRE1	False
ADGRE2	False
ADGRE3	False
ADGRE5	
ADGRF1	False
ADGRF2	
ADGRF3	False
ADGRF4	False
ADGRF5	False
ADGRG1	
ADGRG2	False
ADGRG3	False
ADGRG4	
ADGRG5	False
ADGRG6	
ADGRG7	False
ADGRL1	
ADGRL2	
ADGRL3	
ADGRL4	False
ADGRV1	
ADH1A	False
ADH1B	
ADH1C	False
ADH4	False
ADH5	
ADH6	False
ADH7	False
ADHFE1	False
ADI1	False
ADIG	
ADIPOQ	
ADIPOR1	
ADIPOR2	False
ADIRF	False
ADK	False
ADM	False
ADM2	False
ADM5	False
ADNP	
ADNP2	False
ADO	False
ADORA1	False
ADORA2A	False
ADORA2B	False
ADORA3	False
ADPGK	False
ADPRH	False
ADPRHL1	False
ADPRM	False
ADPRS	False
ADRA1A	
ADRA1B	
ADRA1D	False
ADRA2A	False
ADRA2B	False
ADRA2C	False
ADRB1	False
ADRB2	
ADRB3	
ADRM1	False
ADSL	False
ADSS1	False
ADSS2	False
ADTRP	False
AEBP1	False
AEBP2	False
AEN	False
AFAP1	False
AFAP1L1	False
AFAP1L2	
AFDN	True
AFF1	True
AFF2	
AFF3	True
AFF4	True
AFG1L	False
